tally,region,energy_group,mean,std,relative_error
flux,all,10-50 eV,0.0,0.0,inf
flux,all,50-600 eV,13.361826554193994,0.013639057526837067,0.001020747984679988
flux,all,600-10000 eV,0.0,0.0,inf
flux,all,10000-1000000 eV,0.0,0.0,inf
flux,all,1000000-20000000 eV,0.0,0.0,inf
absorption,0.0-2.0 cm,10-50 eV,0.0,0.0,inf
absorption,0.0-2.0 cm,50-600 eV,0.092259,0.00027039475444675916,0.0029308225153834226
absorption,0.0-2.0 cm,600-10000 eV,0.0,0.0,inf
absorption,0.0-2.0 cm,10000-1000000 eV,0.0,0.0,inf
absorption,0.0-2.0 cm,1000000-20000000 eV,0.0,0.0,inf
absorption,2.0-15.0 cm,10-50 eV,0.0,0.0,inf
absorption,2.0-15.0 cm,50-600 eV,0.3847340000000001,0.00048750699554680327,0.0012671274063295762
absorption,2.0-15.0 cm,600-10000 eV,0.0,0.0,inf
absorption,2.0-15.0 cm,10000-1000000 eV,0.0,0.0,inf
absorption,2.0-15.0 cm,1000000-20000000 eV,0.0,0.0,inf
scatter,0.0-2.0 cm,10-50 eV,0.0,0.0,inf
scatter,0.0-2.0 cm,50-600 eV,2.386903,0.002467000573223045,0.0010335571128039325
scatter,0.0-2.0 cm,600-10000 eV,0.0,0.0,inf
scatter,0.0-2.0 cm,10000-1000000 eV,0.0,0.0,inf
scatter,0.0-2.0 cm,1000000-20000000 eV,0.0,0.0,inf
scatter,2.0-15.0 cm,10-50 eV,0.0,0.0,inf
scatter,2.0-15.0 cm,50-600 eV,4.794728000000001,0.0065210631654723916,0.0013600486128665463
scatter,2.0-15.0 cm,600-10000 eV,0.0,0.0,inf
scatter,2.0-15.0 cm,10000-1000000 eV,0.0,0.0,inf
scatter,2.0-15.0 cm,1000000-20000000 eV,0.0,0.0,inf
current_forward,x=2.00 cm,all,0.7985090000000001,0.0007911264121491584,0.0009907545339490954
current_backward,x=2.00 cm,all,0.392626,0.0006611966806518697,0.0016840369222921297
leak_left,boundary,all,0.501858,0.0004294492126697013,0.0008557185751142778
leak_right,boundary,all,0.021149,0.00016119813393410725,0.007622021558187491
