Pole Index,Coefficients,Status
0,[],Success
1,[],Success
2,"[array([-2352.85183558,   697.90700265]), array([2167.39423113, -680.90439021])]",Success
3,[],Success
4,[],Success
5,[],Success
6,[],Success
7,[],Success
8,"[array([-2361.87020377,   700.35869322]), array([2148.67277322, -674.64613957])]",Success
12,"[array([-783.63045602, 1845.06993945]), array([  757.41233667, -1795.80478746])]",Success
13,"[array([-745.3062939 , 1931.07941282]), array([  720.27735119, -1877.38581645])]",Success
14,[],Success
15,[],Success
16,[],Success
17,[],Success
18,"[array([-599.5687264 , 2377.75637557]), array([  581.33089442, -2313.41849308])]",Success
21,"[array([-495.43749131, 2869.9480039 ]), array([  481.33967651, -2794.89530739])]",Success
23,"[array([-457.02683624, 3079.60045077]), array([  446.35694902, -3013.47708346])]",Success
24,"[array([-431.15117303, 3299.17392218]), array([  418.18422046, -3205.41201833])]",Success
25,"[array([-416.63155987, 3402.39283716]), array([  404.0034305 , -3304.16184445])]",Success
26,[],Success
27,[],Success
28,[],Success
29,[],Success
30,"[array([-415.70054025, 3394.75405029]), array([  404.62090553, -3309.32852762])]",Success
9,"[array([-1649.14436805,   930.94621328]), array([1551.31376994, -900.16686199])]",Success
10,"[array([-1076.64280603,  1360.76461882]), array([ 1031.21483954, -1319.27175148])]",Success
11,"[array([-869.52203395, 1665.15944792]), array([  838.21924073, -1616.47393124])]",Success
19,"[array([-533.06763931, 2644.65176736]), array([  520.81321082, -2590.79459675])]",Success
22,"[array([-481.54437873, 2942.35643213]), array([  468.00698656, -2865.73202612])]",Success
31,"[array([-394.07886571, 3588.53722417]), array([  383.00034338, -3492.56679034])]",Success
32,"[array([-377.87223602, 3719.96086533]), array([  368.87527802, -3636.09272314])]",Success
34,"[array([-368.55270908, 3831.91366516]), array([  358.23323323, -3729.20309117])]",Success
37,"[array([-341.57910329, 4143.49746795]), array([  332.27539231, -4034.80101469])]",Success
38,"[array([-331.0301687 , 4260.59049279]), array([  322.18585121, -4151.8873363 ])]",Success
40,"[array([-313.85660377, 4505.35786623]), array([  305.62815348, -4390.18225001])]",Success
41,"[array([-310.27649042, 4553.35014321]), array([  301.11703683, -4422.86701355])]",Success
42,[],Success
43,[],Success
44,[],Success
45,[],Success
46,[],Success
47,"[array([-299.73616402, 4700.58765559]), array([  292.71109767, -4594.22027668])]",Success
50,"[array([-282.50365413, 5005.89301978]), array([  274.80900207, -4874.56486485])]",Success
52,"[array([-269.5494829 , 5239.29836399]), array([  262.20766819, -5100.6598969 ])]",Success
53,"[array([-264.98532734, 5385.57525723]), array([  255.84790226, -5204.10632774])]",Success
55,"[array([-256.19020645, 5569.71205147]), array([  247.48940699, -5384.94701723])]",Success
61,"[array([-237.95365227, 5950.16998377]), array([  230.66005373, -5768.73812061])]",Success
62,"[array([-236.08734911, 6049.69660103]), array([  227.8023555 , -5841.28589746])]",Success
65,[],Success
33,"[array([-374.64272514, 3787.31694565]), array([  364.11060033, -3685.56160976])]",Success
35,"[array([-358.21663483, 3936.83035202]), array([  349.72137867, -3848.23195672])]",Success
36,"[array([-349.97858944, 4051.41606972]), array([  340.21823037, -3942.78244647])]",Success
39,"[array([-318.60921383, 4418.4242606 ]), array([  310.22476084, -4305.85460836])]",Success
51,"[array([-279.81845842, 5081.30606105]), array([  270.09503708, -4908.56617244])]",Success
54,"[array([-260.8449316 , 5444.76835146]), array([  251.98604713, -5262.76796926])]",Success
56,"[array([-252.28948708, 5601.03183996]), array([  245.44442348, -5453.57579147])]",Success
57,"[array([-250.29510379, 5691.71436812]), array([  242.62322321, -5520.9257697 ])]",Success
58,"[array([-248.33200493, 5729.49471145]), array([  239.86614113, -5537.29865306])]",Success
60,"[array([-242.07157277, 5854.23600728]), array([  234.70817892, -5679.77292595])]",Success
63,[],Success
64,[],Success
66,"[array([-235.14986132, 6025.72387548]), array([  227.70416102, -5838.77655469])]",Success
67,"[array([-231.3534861 , 6128.39886721]), array([  224.17973459, -5942.03413143])]",Success
68,"[array([-230.43175906, 6144.87455031]), array([  223.31417577, -5956.05771738])]",Success
69,"[array([-226.87644473, 6254.31074256]), array([  219.86867809, -6064.57222542])]",Success
70,"[array([-226.02715856, 6265.79970925]), array([  219.0185645 , -6073.37086072])]",Success
71,"[array([-223.34699463, 6331.69623756]), array([  216.50110973, -6140.07146436])]",Success
73,"[array([-219.58338775, 6477.18794968]), array([  211.83338583, -6251.09245478])]",Success
74,"[array([-217.81255398, 6523.52593287]), array([  211.00591167, -6322.14424564])]",Success
75,"[array([-214.49021613, 6609.45765552]), array([  207.03688815, -6382.57580378])]",Success
76,"[array([-214.49021613, 6651.77859039]), array([  207.03688815, -6423.61524888])]",Success
77,"[array([-212.78791282, 6648.56784855]), array([  205.45039859, -6421.67072382])]",Success
81,"[array([-203.05879458, 6996.13971298]), array([  196.08349248, -6758.06076581])]",Success
88,[],Success
20,"[array([-513.3256044, 2775.8990435]), array([  498.00245203, -2699.98147376])]",Success
48,"[array([-293.91707856, 4814.5659626 ]), array([  285.75271527, -4684.85779166])]",Success
49,"[array([-290.36163003, 4890.2608214 ]), array([  281.28782909, -4741.16236681])]",Success
59,"[array([-247.03200869, 5763.59514736]), array([  239.4310238 , -5588.72837605])]",Success
72,"[array([-221.71764305, 6407.30129988]), array([  214.04280156, -6187.23863433])]",Success
78,"[array([-210.56349131, 6742.43248641]), array([  204.05959969, -6537.80597163])]",Success
79,"[array([-205.29433361, 6880.36948316]), array([  198.21521866, -6645.1038533 ])]",Success
80,"[array([-204.67679295, 6963.36995335]), array([  197.59182704, -6724.71813815])]",Success
83,"[array([-200.25947942, 7102.98130584]), array([  193.38033699, -6861.13874944])]",Success
84,"[array([-197.14260036, 7151.7003707 ]), array([  191.19112563, -6936.86051036])]",Success
85,"[array([-197.14260036, 7191.24854941]), array([  190.472362  , -6949.99764285])]",Success
87,[],Success
89,[],Success
90,"[array([-192.82973268, 7396.72936399]), array([  185.38456925, -7113.56105821])]",Success
91,"[array([-192.05841375, 7456.49443545]), array([  183.96399784, -7144.23946882])]",Success
92,"[array([-189.30541681, 7499.05280666]), array([  182.77764382, -7241.70257847])]",Success
93,"[array([-188.68961622, 7558.39319919]), array([  182.08180865, -7297.11662831])]",Success
94,"[array([-188.68961622, 7621.3989966 ]), array([  180.67577151, -7299.19184963])]",Success
95,"[array([-185.99134541, 7679.66745933]), array([  178.83783212, -7386.78523852])]",Success
96,"[array([-185.25034403, 7740.31140057]), array([  178.1526297, -7446.4943909])]",Success
99,"[array([-181.40116185, 7903.5668718 ]), array([  173.75590216, -7571.71908122])]",Success
105,"[array([-171.16622967, 8345.9896878 ]), array([  164.60813658, -8027.84057755])]",Success
106,"[array([-170.4869986 , 8409.77447546]), array([  163.35636368, -8059.15530682])]",Success
110,"[array([-165.08432344, 8750.23044589]), array([  157.88567074, -8371.38847256])]",Success
113,[],Success
82,"[array([-201.46617659, 7035.69479956]), array([  194.59801148, -6797.85595263])]",Success
86,"[array([-195.62026368, 7232.94135668]), array([  189.75898237, -7018.07295806])]",Success
97,"[array([-184.09041772, 7745.47256292]), array([  177.03714501, -7450.61328062])]",Success
101,"[array([-178.82425713, 8031.8133862 ]), array([  171.25861548, -7693.93781125])]",Success
102,"[array([-175.99699615, 8107.27508455]), array([  169.30509516, -7801.61667873])]",Success
104,"[array([-173.53723752, 8248.05847146]), array([  166.91367883, -7935.12706569])]",Success
