Pole Index,Coefficients,Status
1,"[array([-1.1858222e+01,  2.7858822e+04]), array([ 1.18582220e+01, -2.78624612e+04])]",Success
2,"[array([-5.05144145e+00,  6.28798675e+04]), array([ 5.05144145e+00, -6.28802569e+04])]",Success
3,"[array([-4.23008832e+00,  7.50755595e+04]), array([ 4.23008832e+00, -7.50753367e+04])]",Success
7,"[array([-3.05189249e+00,  1.04476976e+05]), array([ 3.05189249e+00, -1.04479202e+05])]",Success
8,"[array([-2.93957416e+00,  1.07955730e+05]), array([ 2.93957416e+00, -1.07956119e+05])]",Success
9,"[array([-2.87461224e+00,  1.10436620e+05]), array([ 2.87461224e+00, -1.10437010e+05])]",Success
10,"[array([-2.62780573e+00,  1.21016411e+05]), array([ 2.62780573e+00, -1.21019862e+05])]",Success
11,"[array([-2.53535226e+00,  1.32185175e+05]), array([ 2.47196846e+00, -1.28895067e+05])]",Success
12,[],Success
13,"[array([-2.43642146e+00,  1.30496907e+05]), array([ 2.43642146e+00, -1.30497296e+05])]",Success
14,"[array([-2.49889381e+00,  1.34132431e+05]), array([ 2.37699655e+00, -1.27589168e+05])]",Success
15,"[array([-2.31781652e+00,  1.37287227e+05]), array([ 2.31781652e+00, -1.37290678e+05])]",Success
16,"[array([-2.24270111e+00,  1.42353068e+05]), array([ 2.24270111e+00, -1.42353458e+05])]",Success
17,"[array([-2.09396564e+00,  1.52833088e+05]), array([ 2.09396564e+00, -1.52834702e+05])]",Success
20,"[array([-2.02933600e+00,  1.64050674e+05]), array([ 1.97860260e+00, -1.59957193e+05])]",Success
23,"[array([-1.85162918e+00,  1.71659948e+05]), array([ 1.85162918e+00, -1.71660949e+05])]",Success
24,"[array([-1.85162918e+00,  1.72068340e+05]), array([ 1.85162918e+00, -1.72068729e+05])]",Success
25,"[array([-1.81925837e+00,  1.75000980e+05]), array([ 1.81925837e+00, -1.75001369e+05])]",Success
26,"[array([-1.86590602e+00,  1.79767586e+05]), array([ 1.77488621e+00, -1.71006581e+05])]",Success
27,"[array([-1.81623481e+00,  1.75501892e+05]), array([ 1.81623481e+00, -1.75502893e+05])]",Success
29,"[array([-1.90032166e+00,  1.95902940e+05]), array([ 1.63516050e+00, -1.68568008e+05])]",Success
30,"[array([-1.69205899e+00,  1.79256475e+05]), array([ 1.73436047e+00, -1.83738840e+05])]",Success
32,"[array([-1.66463732e+00,  2.01454009e+05]), array([ 1.58343550e+00, -1.91626767e+05])]",Success
33,"[array([-1.37272870e+00,  1.68296104e+05]), array([ 1.95509846e+00, -2.39694181e+05])]",Success
35,"[array([-1.64199930e+00,  2.03917139e+05]), array([ 1.56190178e+00, -1.93974523e+05])]",Success
0,"[array([-1.63754309e+01,  1.88259140e+04]), array([ 1.63754309e+01, -1.88273936e+04])]",Success
5,"[array([-3.74559602e+00,  8.54021642e+04]), array([ 3.74559602e+00, -8.54039195e+04])]",Success
21,"[array([-2.61343587e+01,  2.18062066e+06]), array([ 1.30671794e+01, -1.10022638e+06])]",Success
28,"[array([-1.80607031e+00,  1.85474913e+05]), array([ 1.76091855e+00, -1.80854398e+05])]",Success
31,"[array([-1.72437485e+00,  1.94368591e+05]), array([ 1.68126548e+00, -1.89513488e+05])]",Success
34,"[array([-1.73892603e+00,  2.13519228e+05]), array([ 1.69316482e+00, -2.07941571e+05])]",Success
36,"[array([-1.63696254e+00,  2.04910443e+05]), array([ 1.59603848e+00, -1.99794855e+05])]",Success
40,"[array([-1.51060008e+00,  2.13220821e+05]), array([ 1.51060008e+00, -2.13221210e+05])]",Success
41,"[array([-1.54710184e+00,  2.20167410e+05]), array([ 1.43659457e+00, -2.04440907e+05])]",Success
42,"[array([-1.49481849e+00,  2.23968418e+05]), array([ 1.42190052e+00, -2.13042912e+05])]",Success
43,"[array([-1.47417200e+00,  2.26947382e+05]), array([ 1.40226117e+00, -2.15878950e+05])]",Success
44,"[array([-1.40245043e+00,  2.26886953e+05]), array([ 1.40245043e+00, -2.26889180e+05])]",Success
45,"[array([-1.37477558e+00,  2.32510712e+05]), array([ 1.37477558e+00, -2.32520286e+05])]",Success
46,"[array([-1.09699555e+01,  1.85608320e+06]), array([ 6.09441974e+00, -1.03482527e+06])]",Success
47,"[array([-1.39117877e+00,  2.40937957e+05]), array([ 1.32331639e+00, -2.29185265e+05])]",Success
48,"[array([-1.42628631e+00,  2.47722252e+05]), array([ 1.32192390e+00, -2.29613387e+05])]",Success
49,"[array([-1.41670637e+00,  2.49183861e+05]), array([ 1.28178195e+00, -2.25451852e+05])]",Success
56,"[array([-1.32748928e+00,  2.52178253e+05]), array([ 1.26273370e+00, -2.39886215e+05])]",Success
57,"[array([-1.29430205e+00,  2.45940584e+05]), array([ 1.29430205e+00, -2.45945872e+05])]",Success
58,"[array([-1.31765610e+00,  2.54328607e+05]), array([ 1.28471469e+00, -2.47979402e+05])]",Success
59,"[array([-1.37866846e+00,  2.69856068e+05]), array([ 1.30796752e+00, -2.56053690e+05])]",Success
61,"[array([-1.24893024e+00,  2.54532348e+05]), array([ 1.24893024e+00, -2.54532125e+05])]",Success
62,"[array([-1.24296168e+00,  2.55987740e+05]), array([ 1.24296168e+00, -2.55987517e+05])]",Success
63,"[array([-1.30215778e+00,  2.70845721e+05]), array([ 1.20687794e+00, -2.51032948e+05])]",Success
64,"[array([-1.29906846e+00,  2.71284308e+05]), array([ 1.17534765e+00, -2.45447495e+05])]",Success
6,"[array([-6.96208442e+01,  1.91430992e+06]), array([ 4.64138961e+01, -1.31512818e+06])]",Success
18,"[array([-1.35526803e+01,  1.00203702e+06]), array([ 8.13160818e+00, -6.04184988e+05])]",Success
19,"[array([-2.06084849e+00,  1.58852786e+05]), array([ 2.00932727e+00, -1.54883742e+05])]",Success
22,"[array([-1.91683378e+00,  1.73155640e+05]), array([ 1.87008173e+00, -1.68945806e+05])]",Success
37,"[array([-6.88382416e+00,  8.93551540e+05]), array([ 4.76572442e+00, -6.20231384e+05])]",Success
39,"[array([-3.02561843e+01,  4.24106443e+06]), array([ 2.01707895e+01, -2.86280376e+06])]",Success
50,"[array([-1.39560817e+00,  2.50884250e+05]), array([ 1.29349050e+00, -2.32533864e+05])]",Success
51,"[array([-1.35636766e+00,  2.45609908e+05]), array([ 1.29020338e+00, -2.33631109e+05])]",Success
52,"[array([-1.35636766e+00,  2.45739272e+05]), array([ 1.35636766e+00, -2.45753587e+05])]",Success
53,"[array([-1.31082145e+00,  2.45239887e+05]), array([ 1.27885019e+00, -2.39259954e+05])]",Success
54,"[array([ 1.74340693e+01, -3.30974773e+06])]",Success
55,"[array([-1.33599683e+00,  2.51261216e+05]), array([ 1.27082625e+00, -2.39004353e+05])]",Success
60,"[array([-1.25678631e+00,  2.53336295e+05]), array([ 1.28901160e+00, -2.59846362e+05])]",Success
65,"[array([-1.23119407e+00,  2.58206035e+05]), array([ 1.23119407e+00, -2.58205812e+05])]",Success
66,"[array([-1.23004636e+00,  2.59169321e+05]), array([ 1.23004636e+00, -2.59171548e+05])]",Success
67,"[array([-1.27784695e+00,  2.75988883e+05]), array([ 1.15614724e+00, -2.49704016e+05])]",Success
69,"[array([-1.22829796e+00,  2.72484524e+05]), array([ 1.16838098e+00, -2.59195365e+05])]",Success
70,"[array([-1.19337091e+00,  2.66944495e+05]), array([ 1.19337091e+00, -2.66944884e+05])]",Success
71,"[array([-1.28423975e+00,  2.90045709e+05]), array([ 1.18792177e+00, -2.68317308e+05])]",Success
72,"[array([-1.17717141e+00,  2.70642965e+05]), array([ 1.20735530e+00, -2.77583606e+05])]",Success
74,"[array([-1.19528680e+00,  2.80753698e+05]), array([ 1.16540463e+00, -2.73747539e+05])]",Success
75,"[array([-1.14741614e+00,  2.77236395e+05]), array([ 1.14741614e+00, -2.77240458e+05])]",Success
78,"[array([-1.19583977e+00,  2.94582504e+05]), array([ 1.08195027e+00, -2.66526815e+05])]",Success
79,"[array([-1.18135426e+00,  2.98279466e+05]), array([ 1.06884433e+00, -2.69871686e+05])]",Success
83,"[array([-1.10558951e+00,  2.88293537e+05]), array([ 1.10558951e+00, -2.88293314e+05])]",Success
38,"[array([-1.54425158e+00,  2.01015212e+05]), array([ 1.58384778e+00, -2.06169897e+05])]",Success
68,"[array([-1.60057751e+01,  3.52928938e+06]), array([ 6.00216567e+00, -1.32859339e+06])]",Success
73,"[array([-1.17064827e+00,  2.72229520e+05]), array([ 1.17064827e+00, -2.72238482e+05])]",Success
76,"[array([-1.20372438e+00,  2.92998152e+05]), array([ 1.08908396e+00, -2.65093354e+05])]",Success
80,"[array([-1.12024392e+00,  2.84041328e+05]), array([ 1.14896812e+00, -2.91340588e+05])]",Success
81,"[array([-1.11544119e+00,  2.85730397e+05]), array([ 1.11544119e+00, -2.85732011e+05])]",Success
82,"[array([-1.13542819e+00,  2.95096172e+05]), array([ 1.08004145e+00, -2.80705201e+05])]",Success
84,"[array([-1.25594416e+00,  3.31086465e+05]), array([ 1.18805528e+00, -3.13252963e+05])]",Success
85,"[array([-1.29141225e+00,  3.41371535e+05]), array([ 9.34213118e-01, -2.46948869e+05])]",Success
86,"[array([-1.14950767e+00,  3.06947135e+05]), array([ 1.14950767e+00, -3.06981908e+05])]",Success
87,"[array([-1.11876583e+00,  2.99480877e+05]), array([ 1.06419188e+00, -2.84874226e+05])]",Success
89,"[array([-1.16589480e+00,  3.20259653e+05]), array([ 9.80411536e-01, -2.69308450e+05])]",Success
92,"[array([-1.06520668e+00,  2.99310884e+05]), array([ 1.06520668e+00, -2.99313723e+05])]",Success
93,"[array([-1.14649694e+00,  3.24514525e+05]), array([ 1.01000921e+00, -2.85884010e+05])]",Success
94,"[array([-1.05969472e+00,  3.00940839e+05]), array([ 1.05969472e+00, -3.00943677e+05])]",Success
95,"[array([-1.05539578e+00,  3.01365451e+05]), array([ 1.02965442e+00, -2.94019588e+05])]",Success
96,"[array([-1.05015844e+00,  3.03248941e+05]), array([ 1.05015844e+00, -3.03259126e+05])]",Success
97,"[array([-1.13178562e+00,  3.28686981e+05]), array([ 9.97049237e-01, -2.89569075e+05])]",Success
98,"[array([-1.04690170e+00,  3.04376032e+05]), array([ 1.02136751e+00, -2.96951962e+05])]",Success
100,"[array([-1.12274946e+00,  3.32198490e+05]), array([ 9.66086745e-01, -2.85845005e+05])]",Success
101,"[array([-1.05673560e+00,  3.16983279e+05]), array([ 1.03031721e+00, -3.09068319e+05])]",Success
110,"[array([-9.94857163e-01,  3.20123559e+05]), array([ 9.94857163e-01, -3.20126397e+05])]",Success
111,"[array([-1.10118584e+00,  3.56793029e+05]), array([ 9.00970229e-01, -2.91924149e+05])]",Success
113,"[array([-9.79028622e-01,  3.24553718e+05]), array([ 9.79028622e-01, -3.24561455e+05])]",Success
114,"[array([-1.00122259e+00,  3.34827310e+05]), array([ 9.52382466e-01, -3.18495248e+05])]",Success
4,"[array([-3.91030093e+00,  7.88630407e+04]), array([ 3.91030093e+00, -7.88622841e+04])]",Success
77,"[array([-5.69975837e+00,  1.39626050e+06]), array([ 2.07263941e+00, -5.08365207e+05])]",Success
88,"[array([-1.35519994e+00,  3.65547465e+05]), array([ 1.20462217e+00, -3.25016521e+05])]",Success
90,"[array([-1.53756279e+00,  4.24810219e+05]), array([ 1.38876639e+00, -3.83855433e+05])]",Success
91,"[array([ 1.43213760e+01, -4.00163748e+06])]",Success
99,"[array([-1.38899841e+00,  4.07236180e+05]), array([ 1.26272583e+00, -3.70333446e+05])]",Success
102,"[array([-1.10205291e+00,  3.33910090e+05]), array([ 9.70856137e-01, -2.94159306e+05])]",Success
103,"[array([-1.09989837e+00,  3.34904887e+05]), array([ 9.68958091e-01, -2.95040923e+05])]",Success
104,"[array([-1.09772088e+00,  3.36253584e+05]), array([ 9.67039819e-01, -2.96223813e+05])]",Success
105,"[array([-1.09666926e+00,  3.36665864e+05]), array([ 9.43645641e-01, -2.89689024e+05])]",Success
106,"[array([-1.22599361e+00,  3.81224417e+05]), array([ 1.06467866e+00, -3.31129921e+05])]",Success
107,"[array([-1.15369449e+00,  3.60921562e+05]), array([ 8.97317935e-01, -2.80717117e+05])]",Success
108,"[array([-1.03438083e+00,  3.25550650e+05]), array([ 1.00852131e+00, -3.17430691e+05])]",Success
109,[],Success
112,"[array([-7.83993062e+00,  2.59848076e+06]), array([ 1.15293097e+00, -3.82393091e+05])]",Success
115,"[array([-1.13682615e+00,  3.87367472e+05]), array([ 1.01716024e+00, -3.46648841e+05])]",Success
116,"[array([-9.66302228e-01,  3.29562050e+05]), array([ 9.66302228e-01, -3.29571011e+05])]",Success
117,"[array([-1.10322901e+00,  3.77049793e+05]), array([ 8.58067008e-01, -2.93261840e+05])]",Success
120,"[array([-1.00143782e+00,  3.50805583e+05]), array([ 1.00143782e+00, -3.50841646e+05])]",Success
125,[],Success
129,"[array([-9.21796066e-01,  3.44520390e+05]), array([ 8.99313235e-01, -3.36117786e+05])]",Success
