Pole Index,Coefficients,Status
0,"[array([-4.15356297e+00,  3.16373218e+04]), array([ 4.15356297e+00, -3.16378782e+04])]",Success
1,"[array([-1.91822844e+00,  6.78853499e+04]), array([ 1.91822844e+00, -6.78866484e+04])]",Success
2,"[array([-1.99377745e+01,  1.00398341e+06]), array([ 1.74998691e+01, -9.01862616e+05])]",Success
3,"[array([-8.74993455e+00,  4.50855314e+05]), array([ 1.27015179e+00, -6.55428682e+04])]",Success
4,"[array([-3.93747055e+01,  2.03186064e+06]), array([ 1.94623646e+01, -1.03006880e+06])]",Success
5,[],Success
6,[],Success
7,[],Success
8,"[array([-1.0540675e+00,  1.2377376e+05]), array([ 1.07580085e+00, -1.26336504e+05])]",Success
9,"[array([-9.26777799e-01,  1.32646035e+05]), array([ 9.95066689e-01, -1.42426999e+05])]",Success
10,"[array([-8.28128501e-01,  1.57390702e+05]), array([ 8.28128501e-01, -1.57397196e+05])]",Success
11,[],Success
12,"[array([-7.57832221e-01,  1.79377577e+05]), array([ 7.57832221e-01, -1.79394890e+05])]",Success
13,[],Success
14,"[array([-9.07075256e+00,  2.19972534e+06]), array([ 1.36802267e+00, -3.32471892e+05])]",Success
15,"[array([-2.90135063e+00,  7.04870349e+05]), array([ 6.84280808e-01, -1.66377843e+05])]",Success
16,"[array([-1.57831134e+00,  3.83508249e+05]), array([ 4.52908156e+00, -1.10305969e+06])]",Success
17,"[array([-1.3088808e+01,  3.9031426e+06]), array([ 3.26687955e+00, -9.79052875e+05])]",Success
18,[],Success
19,"[array([-3.84755957e+00,  1.15154579e+06]), array([ 4.01279219e-01, -1.20133777e+05])]",Success
20,"[array([-7.10962094e-01,  2.12850847e+05]), array([ 6.88510659e-01, -2.06164592e+05])]",Success
21,"[array([-3.20402614e-01,  9.59462586e+04])]",Success
22,"[array([-6.60348828e-01,  2.01529611e+05]), array([ 6.67156548e-01, -2.03624781e+05])]",Success
23,[],Success
