Pole Index,Coefficients,Status
0,"[array([  -41.21069108, 15011.99790666]), array([   14.71810396, -5479.49077193])]",Success
1,[],Success
2,[],Success
3,[],Success
4,[],Success
7,[],Success
8,[],Success
10,[],Success
12,[],Success
13,[],Success
15,[],Success
16,[],Success
17,"[array([-2.04424535e+00,  8.87712389e+05]), array([ 2.03940895e+00, -8.89114690e+05])]",Success
18,[],Success
19,[],Success
20,[],Success
21,[],Success
23,[],Success
24,[],Success
26,[],Success
28,[],Success
30,[],Success
31,[],Success
37,[],Success
38,[],Success
5,[],Success
9,"[array([-3.18343582e+00,  1.29183277e+06]), array([ 6.32024279e+00, -2.58467643e+06])]",Success
11,"[array([-1.14614454e+00,  4.73154523e+05])]",Success
14,[],Success
22,[],Success
25,"[array([-5.01706639e-01,  2.27540670e+05])]",Success
32,[],Success
33,[],Success
34,"[array([-9.00882228e-01,  1.48595040e+06]), array([ 9.00882228e-01, -1.48801077e+06])]",Success
35,[],Success
36,[],Success
39,[],Success
40,[],Success
41,"[array([-1.03867816e+00,  1.75360781e+06]), array([ 1.03867816e+00, -1.75679594e+06])]",Success
42,[],Success
43,[],Success
44,"[array([-6.00026825e-01,  1.09225888e+06]), array([ 3.00013413e+00, -5.46865458e+06])]",Success
45,"[array([-1.99414060e+00,  3.65133754e+06]), array([ 1.19648436e+00, -2.19600625e+06])]",Success
46,[],Success
47,[],Success
48,[],Success
49,[],Success
50,[],Success
51,[],Success
52,[],Success
6,"[array([ 2.11699679e+00, -8.53842203e+05])]",Success
27,"[array([-1.47853956e+00,  6.91952291e+05])]",Success
29,"[array([-1.28587182e+00,  6.27460083e+05])]",Success
