Pole Index,Coefficients,Status
0,"[array([-1175.30888054,  1234.27422299]), array([ 1114.25387376, -1181.94610768])]",Success
1,"[array([-260.58465262, 5330.37301827]), array([  257.24382374, -5264.44315243])]",Success
2,[],Success
3,"[array([-190.07808549, 7282.84698113]), array([  184.94083993, -7087.46480331])]",Success
4,"[array([-184.94083993, 7696.03123584]), array([  177.73535266, -7398.09046051])]",Success
5,"[array([-145.82556524, 9713.2325679 ]), array([  141.77485509, -9446.7214174 ])]",Success
10,[],Success
11,[],Success
12,"[array([ -110.29750344, 13411.08795007]), array([   102.94433655, -12518.47356773])]",Success
14,"[array([ -103.27864667, 13973.13713066]), array([    97.84292843, -13238.74866296])]",Success
15,"[array([  -98.64323537, 14983.09365663]), array([    92.15354883, -13998.42924829])]",Success
16,"[array([  -93.99121891, 15292.23418397]), array([    89.04431265, -14487.77504816])]",Success
17,"[array([  -92.21153164, 15684.91101457]), array([    87.29358329, -14849.16149698])]",Success
18,"[array([  -88.9854482 , 16532.91871429]), array([    83.20717234, -15460.35356019])]",Success
19,[],Success
20,[],Success
21,"[array([  -86.91354841, 16687.43029385]), array([    81.11931185, -15574.76033648])]",Success
22,"[array([  -85.68941393, 17103.33968317]), array([    80.05195249, -15978.54089726])]",Success
24,"[array([  -75.08011582, 19557.90100731]), array([    70.14063452, -18271.94017746])]",Success
25,[],Success
27,"[array([  -69.9578651 , 21329.97522981]), array([    64.43487575, -19646.47638216])]",Success
28,"[array([  -67.86917817, 21602.62413951]), array([    63.40410066, -20181.81979725])]",Success
33,"[array([  -63.74040981, 23711.13996852]), array([    57.9458271 , -21555.99725302])]",Success
34,[],Success
35,[],Success
7,"[array([ -125.00384666, 11345.98151361]), array([   118.51014034, -10757.23750188])]",Success
8,"[array([ -124.85211692, 11549.49467045]), array([   118.28095287, -10942.34407852])]",Success
9,"[array([ -117.81795701, 12369.40833934]), array([   110.06677562, -11557.66367352])]",Success
13,"[array([ -106.03942723, 13858.684127  ]), array([   100.38399111, -13120.65992717])]",Success
23,"[array([  -78.94145075, 18882.19866503]), array([    72.70923095, -17391.94533566])]",Success
26,"[array([  -72.14461892, 20710.81172569]), array([    66.3730494 , -19057.06366437])]",Success
29,"[array([  -68.29534083, 21902.1180718 ]), array([    62.08667348, -19911.11382377])]",Success
30,"[array([  -66.70457033, 22572.31272376]), array([    60.64051848, -20520.69975778])]",Success
31,"[array([  -66.19430423, 22902.69095604]), array([    60.17664021, -20821.3616739 ])]",Success
32,"[array([  -64.21868189, 23355.74953644]), array([    58.3806199 , -21233.23311061])]",Success
36,"[array([  -61.0512387 , 24724.59464537]), array([    55.4280983 , -22449.41281801])]",Success
37,"[array([  -60.2052671 , 25226.02708971]), array([    53.95017442, -22604.9457868 ])]",Success
39,"[array([  -58.5931655 , 26354.57159877]), array([    52.50556389, -23617.19312409])]",Success
40,"[array([  -57.36970199, 26762.70887012]), array([    50.83391316, -23713.52825935])]",Success
42,"[array([  -55.51701766, 27419.48190061]), array([    49.82296456, -24607.29851507])]",Success
43,"[array([  -55.1634887 , 27542.78228382]), array([    49.50569499, -24718.26669591])]",Success
44,"[array([  -55.2477594 , 28413.07443618]), array([    48.87301793, -25135.36689825])]",Success
45,[],Success
46,[],Success
47,"[array([  -53.88380396, 28348.18589119]), array([    48.28548666, -25402.72445306])]",Success
48,"[array([  -53.88380396, 28601.26246928]), array([    47.66644196, -25300.89895516])]",Success
50,"[array([  -52.90863991, 29268.71184854]), array([    46.80379684, -25891.6489353 ])]",Success
51,"[array([  -52.27508766, 29602.89604663]), array([    46.24334677, -26187.58740904])]",Success
54,"[array([  -50.46231127, 30685.68253642]), array([    44.63973689, -27145.43699613])]",Success
58,[],Success
6,"[array([ -139.41513787, 10146.0855689 ]), array([  132.07749904, -9612.7986139 ])]",Success
38,"[array([  -58.5931655 , 26120.30716464]), array([    52.50556389, -23406.63171475])]",Success
41,"[array([  -56.18855724, 26594.23739692]), array([    51.14599441, -24207.30726615])]",Success
49,"[array([  -52.47295073, 28671.13042677]), array([    47.70268248, -26065.0794878 ])]",Success
52,"[array([  -51.65652876, 30172.05731354]), array([    45.69616005, -26690.76223125])]",Success
56,"[array([  -49.32206296, 31442.45571765]), array([    43.63105569, -27814.57620415])]",Success
57,"[array([  -48.0743175 , 31972.79922305]), array([    42.59749652, -28332.85416113])]",Success
59,[],Success
60,"[array([  -47.88343553, 32493.77179727]), array([    41.74453354, -28327.71075141])]",Success
61,"[array([  -47.37137397, 33732.58883313]), array([    41.29812089, -29408.33307193])]",Success
62,"[array([  -45.2932799 , 33666.54799212]), array([    40.13328598, -29830.54404739])]",Success
63,"[array([  -45.71030068, 34282.10104186]), array([    39.92418667, -29943.28488081])]",Success
64,"[array([  -45.89885801, 34832.08609801]), array([    39.50787778, -29982.14372238])]",Success
65,"[array([  -44.76977499, 34843.95902575]), array([    39.10271486, -30433.09155225])]",Success
66,"[array([  -45.87288877, 35883.55722888]), array([    40.44057299, -31656.30307876])]",Success
67,"[array([  -44.31531068, 35048.26570342]), array([    39.2020056 , -31005.27316392])]",Success
69,"[array([  -44.28888447, 36311.9247253 ]), array([    37.6455518 , -30866.12382869])]",Success
70,[],Success
71,[],Success
72,"[array([  -43.42056939, 36716.1403695 ]), array([    37.37466732, -31603.86132317])]",Success
73,"[array([  -43.21238628, 36941.80677534]), array([    37.19547173, -31798.41584063])]",Success
82,"[array([  -40.86396888, 40013.82171495]), array([    34.22357394, -33511.36328777])]",Success
84,[],Success
85,[],Success
86,"[array([-3.97791912e+01,  4.07375971e+04]), array([ 3.37367824e+01, -3.45497273e+04])]",Success
53,"[array([  -50.75777414, 30291.75022734]), array([    44.9011079 , -26796.95841504])]",Success
