Pole Index,Coefficients,Status
0,"[array([-560.60024649, 2468.93353473]), array([  548.88352108, -2420.72121499])]",Success
1,"[array([-456.28759748, 3043.47124519]), array([  444.9636717 , -2970.77759054])]",Success
2,[],Success
3,"[array([-424.574974  , 3257.33893005]), array([  416.03089557, -3194.22485397])]",Success
4,[],Success
5,[],Success
6,[],Success
7,"[array([-365.8860139 , 3745.30121961]), array([  361.36890261, -3701.0864911 ])]",Success
8,"[array([-348.38289076, 3940.39882776]), array([  344.16006785, -3894.58944565])]",Success
9,"[array([-264.58425007, 5164.9103842 ]), array([  262.17528877, -5119.20960171])]",Success
11,"[array([-237.34605286, 5743.79180899]), array([  235.488885  , -5699.94948879])]",Success
12,"[array([-224.62097996, 6073.04161656]), array([  223.23770122, -6036.74941917])]",Success
13,[],Success
14,[],Success
15,"[array([-224.72923484, 6075.93642018]), array([  223.20432708, -6035.83709964])]",Success
17,[],Success
19,"[array([-177.51237105, 7687.48192081]), array([  176.37991573, -7639.24218586])]",Success
21,"[array([-170.33336694, 7988.27629187]), array([  169.54234511, -7951.87891365])]",Success
22,"[array([-165.40064906, 8211.09908731]), array([  164.65109929, -8174.47745677])]",Success
23,[],Success
24,[],Success
25,"[array([-152.86586171, 8886.88033878]), array([  152.38515146, -8859.51072027])]",Success
28,"[array([-142.10032597, 9592.01885573]), array([  141.42258197, -9546.82150796])]",Success
30,[],Success
31,[],Success
10,"[array([-258.49991092, 5394.19254465]), array([  251.19536085, -5243.80741237])]",Success
16,"[array([-195.89240979, 7184.28068264]), array([  188.75347357, -6925.27782407])]",Success
18,[],Success
20,"[array([-173.58788601, 7841.84261758]), array([  172.77036064, -7805.63723659])]",Success
26,"[array([-146.18354151, 9285.80048824]), array([  145.73921464, -9258.07760211])]",Success
29,"[array([-137.05379277, 9925.44860849]), array([  136.41830378, -9879.89208993])]",Success
32,[],Success
33,[],Success
34,"[array([ -132.89779526, 10730.84764952]), array([   126.10889859, -10183.12656087])]",Success
35,"[array([ -128.03723792, 10636.17088841]), array([   127.4342368 , -10586.53627071])]",Success
36,"[array([ -127.4342368 , 10666.40577025]), array([   126.83688881, -10616.7672885 ])]",Success
38,"[array([ -120.81061596, 11250.44403052]), array([   120.25643882, -11199.14310784])]",Success
39,[],Success
40,[],Success
41,[],Success
42,"[array([ -117.78871457, 11547.51827895]), array([   117.42177154, -11511.9268496 ])]",Success
44,"[array([ -110.46567479, 12285.56189414]), array([   110.12314556, -12247.71546258])]",Success
45,"[array([ -111.36115049, 13016.70430685]), array([   104.08048092, -12166.68457182])]",Success
46,"[array([ -106.61035031, 12721.19789431]), array([   106.49752035, -12707.99764449])]",Success
47,[],Success
48,"[array([ -106.48495537, 12706.25151567]), array([   106.34087721, -12689.24266451])]",Success
49,"[array([ -104.23533062, 13033.15487423]), array([   103.90703037, -12992.34203733])]",Success
50,"[array([ -101.00203883, 13465.1252813 ]), array([   100.53298911, -13402.80076123])]",Success
58,"[array([  -88.46062292, 15324.85775277]), array([    88.32347467, -15301.1917129 ])]",Success
59,[],Success
27,"[array([-146.95072091, 9702.42564726]), array([  139.8473628, -9235.0252531])]",Success
37,"[array([ -123.40126472, 11012.93681765]), array([   123.02389082, -10979.63664841])]",Success
43,"[array([ -118.45670372, 12147.23703652]), array([   111.74476185, -11461.7704793 ])]",Success
51,"[array([  -99.80771184, 13576.36634607]), array([    99.500138  , -13534.63812222])]",Success
52,"[array([  -99.85038446, 14544.5275422 ]), array([    93.18193844, -13573.36317655])]",Success
54,"[array([  -94.3168461 , 14379.11041306]), array([    94.16642051, -14356.34613575])]",Success
55,"[array([  -92.43339239, 14687.65303923]), array([    92.28759839, -14664.68768002])]",Success
56,"[array([  -90.95444331, 14939.94874737]), array([    90.67109614, -14893.56010831])]",Success
60,[],Success
61,[],Success
63,"[array([  -83.50687242, 16272.2899898 ]), array([    83.37639293, -16247.0274055 ])]",Success
65,"[array([  -81.716526  , 16598.37855192]), array([    81.59157718, -16573.07473826])]",Success
66,[],Success
67,[],Success
68,[],Success
70,"[array([  -79.41239728, 17064.58983408]), array([    79.28733839, -17037.75702116])]",Success
71,"[array([  -78.86345596, 17210.93944518]), array([    78.73984553, -17184.06187014])]",Success
72,"[array([  -76.9500142 , 17620.76573301]), array([    76.83089653, -17593.53834675])]",Success
74,[],Success
75,[],Success
77,"[array([  -73.08468229, 18556.04505083]), array([    72.85700416, -18498.20057218])]",Success
78,"[array([  -72.59410265, 18673.59938232]), array([    72.36900466, -18615.64131475])]",Success
82,"[array([  -69.82431143, 19428.15257709]), array([    69.63578797, -19375.64709977])]",Success
83,[],Success
92,[],Success
53,"[array([  -99.76667602, 14532.36810049]), array([    93.26945466, -13586.1826032 ])]",Success
57,"[array([  -93.58656547, 15471.26640356]), array([    87.53510334, -14471.0756924 ])]",Success
62,"[array([  -88.00560852, 16690.57058089]), array([    81.51121873, -15463.39625683])]",Success
64,"[array([  -82.22017177, 16506.77534002]), array([    81.96757523, -16456.12292891])]",Success
69,"[array([  -84.52098369, 17624.06209888]), array([    76.94235445, -16045.01756818])]",Success
73,"[array([  -79.27505089, 18819.39647063]), array([    72.06822808, -17109.16804517])]",Success
76,"[array([  -74.70122482, 18134.32082729]), array([    74.70122482, -18134.37699025])]",Success
79,"[array([  -71.66869113, 18919.04249538]), array([    71.55792036, -18889.80670541])]",Success
80,"[array([  -73.90861662, 20226.93350015]), array([    67.06120067, -18353.50151781])]",Success
81,"[array([  -70.30821757, 19346.85835666]), array([    69.9832181 , -19257.42694644])]",Success
84,[],Success
85,"[array([  -69.7729753 , 19413.87725316]), array([    69.6983512 , -19393.11256074])]",Success
86,"[array([  -69.30445456, 19575.94998769]), array([    69.19633529, -19545.41398828])]",Success
87,"[array([  -68.95403367, 19700.97840208]), array([    68.73989071, -19639.78379993])]",Success
90,"[array([  -66.39191982, 20447.41309204]), array([    66.18509141, -20383.67650112])]",Success
91,"[array([  -69.47802521, 21631.9195592 ]), array([    62.79744586, -19551.98597333])]",Success
93,[],Success
94,[],Success
95,[],Success
96,"[array([  -64.8266418 , 20916.25941449]), array([    64.72503264, -20883.42057753])]",Success
102,[],Success
103,[],Success
104,[],Success
105,[],Success
106,[],Success
89,"[array([  -67.9095886, 19981.1209429]), array([    67.69603644, -19918.20913414])]",Success
97,"[array([  -63.89037737, 21217.1646146 ]), array([    63.79132252, -21184.21133134])]",Success
98,"[array([  -63.47941597, 21410.76637058]), array([    63.38145391, -21377.76222668])]",Success
99,"[array([  -65.99771736, 22955.36471438]), array([    59.15707805, -20577.39620451])]",Success
107,"[array([  -60.77412365, 22390.12766289]), array([    60.58301005, -22319.71737791])]",Success
108,"[array([  -60.29858277, 22490.86606723]), array([    60.20436624, -22455.65735204])]",Success
109,"[array([  -60.11044367, 22585.29759014]), array([    60.01681369, -22550.1156279 ])]",Success
110,"[array([  -63.52827142, 23947.97416383]), array([    56.78190632, -21404.85746919])]",Success
112,"[array([  -58.57557508, 23132.80946487]), array([    58.57557508, -23132.76209006])]",Success
113,"[array([  -61.80255076, 24575.44202048]), array([    55.26836037, -21977.17110378])]",Success
114,[],Success
115,[],Success
116,"[array([  -57.69724208, 23528.65511144]), array([    57.60666556, -23491.66974703])]",Success
117,"[array([  -60.86535616, 24971.11959031]), array([    54.344068  , -22295.85434437])]",Success
118,"[array([  -57.10002134, 23767.04221507]), array([    57.01052287, -23729.73506653])]",Success
