Pole Index,Coefficients,Status
0,"[array([-1.30273672e+01,  5.01599420e+04]), array([ 1.13989463e+01, -4.39352788e+04])]",Success
1,"[array([-1.10180816e+01,  4.41601316e+04]), array([ 1.10180816e+01, -4.41592964e+04])]",Success
2,"[array([-8.26366242e+00,  5.99144208e+04]), array([ 8.26366242e+00, -5.99227699e+04])]",Success
3,"[array([-7.51244548e+00,  6.64932567e+04]), array([ 7.51244548e+00, -6.65046672e+04])]",Success
4,"[array([-8.39276670e+00,  8.04876114e+04]), array([ 7.34367086e+00, -7.04321912e+04])]",Success
5,"[array([-6.47973448e+00,  7.91494537e+04]), array([ 6.47973448e+00, -7.91486186e+04])]",Success
6,"[array([-1.24746048e+01,  1.66546994e+05]), array([ 9.97968388e+00, -1.33606356e+05])]",Success
7,"[array([-5.50917575e+00,  9.30812448e+04]), array([ 5.50917575e+00, -9.30834710e+04])]",Success
8,"[array([-5.50917575e+00,  9.34608596e+04]), array([ 5.50917575e+00, -9.34630859e+04])]",Success
9,"[array([ 2.16772610e+01, -3.76991223e+05])]",Success
10,"[array([-5.16486018e+00,  9.85685693e+04]), array([ 5.16486018e+00, -9.85707956e+04])]",Success
11,"[array([-5.72383171e+00,  1.12655825e+05]), array([ 5.00835275e+00, -9.85977462e+04])]",Success
12,"[array([-4.34937171e+00,  1.15123351e+05]), array([ 4.97071052e+00, -1.31575865e+05])]",Success
13,"[array([-4.97071052e+00,  1.31936635e+05]), array([ 4.34937171e+00, -1.15456210e+05])]",Success
14,"[array([-4.18316245e+00,  1.20513781e+05]), array([ 4.18316245e+00, -1.20516007e+05])]",Success
15,"[array([-7.51257094e+00,  2.65450435e+05]), array([ 3.33892042e+00, -1.18040467e+05])]",Success
16,"[array([-3.59297132e+00,  1.42061999e+05]), array([ 4.10625294e+00, -1.62362892e+05])]",Success
17,"[array([-4.73951213e+00,  1.91217071e+05]), array([ 4.73951213e+00, -1.91356041e+05])]",Success
18,"[array([-9.27946895e+00,  3.83067456e+05]), array([ 9.27946895e+00, -3.84149340e+05])]",Success
19,"[array([ 9.27946895e+00, -3.93096821e+05])]",Success
20,"[array([-5.39679485e+00,  2.41125413e+05]), array([ 4.49732904e+00, -2.01130203e+05])]",Success
21,"[array([-6.60950358e+00,  3.52797213e+05]), array([ 2.20316786e+00, -1.17620965e+05])]",Success
22,"[array([-3.30475179e+00,  1.76637146e+05]), array([ 3.00431981e+00, -1.60579957e+05])]",Success
