Pole Index,Optimized Pole,Optimized Residue,Temperature,Integral Difference,Violations
0,(33.90722651591524+0.004687121504464444j),(-2834.0939809199804-0.8031695239595272j),2068.9655172413795,195.6772659261919,0
1,(48.4716413473552+0.003869323989993646j),(-13.792968199932263-0.001663145568032841j),2068.9655172413795,0.6757351885277642,0
2,(111.57060545251237+0.0010146268443110642j),(-47.05916505943588+0j),2413.793103448276,1.1810668947359853,0
3,(133.2216198672972+0.0008721263875181514j),(-208.4679897095806-0.13158355301362956j),2413.793103448276,4.391968516401144,0
4,(142.014083814544+0.0013276323410992357j),(-107.65521099991416+0j),2413.793103448276,2.088949626098156,0
5,(151.00000002368176+0.0033357779549691873j),(-3551.40372100343-8.72461848986385j),5172.413793103448,88.87593936572755,0
6,(166.6638560083423+2.115772596081405j),(-5169652.055884098-2378488.249653702j),0,48.43623318499357,1
7,(185.02432318121382+0.003771557950653866j),(-6045.72749501231-15.396623738702871j),2068.9655172413795,77.53552554599173,0
8,(191.63767906970952+0.0014219541818433475j),(-69577.00908842238-140.75310023610126j),0,2221.830864818985,0
9,(196.00510235100788+0.001247416074638813j),(-64457.96115418875-107.79868667658485j),5000,1985.0361587087734,0
10,(214.5996391416756+0.006318834395447767j),(-71475.83823580023-116.4658878598015j),2068.9655172413795,750.5167383144608,0
11,(228.34185937779523+0.01936572758279777j),(-279407.8260946738-2887.63091320858j),0,4155.874464731845,0
12,(231.432496179928+0.0018419510606521518j),(-3365.2426111002665-27.611360312123892j),0,0.0008928407330046028,0
13,(231.4324961784052+0.0018409281496192492j),(-96413.47073840605-456.6982968120076j),0,2479.1794210864714,0
14,(231.68297286823636+0.0005255016539932383j),(-324.507797486748-2.1507180917615916j),2758.6206896551726,4.274940963344946,0
15,(243.37624961783098+0.005400802358670148j),(-235422.51527877874-1068.9260272536878j),0,5081.996005400236,0
16,(251.94046881912396+0.001342529009216844j),(-150482.50447074536-197.4001400895673j),0,3693.4620644857555,0
17,(270.1629139937552+0.0031284181223562328j),(-5073.838527295066+2.6661992554848455j),2068.9655172413795,45.462852162089334,0
18,(272.1157509475976+0.5618713204559068j),(-1327846.4485959043-757790.8808222192j),0,156.0374264939281,1
19,(277.63645564094685+0.0034467722908349658j),(-114045.56248650327-235.44392086940687j),0,1607.5181974699037,0
20,(284.3272755336511+0.01100317441624487j),(-369302.81045567925+985.0885768511333j),0,5650.90662322544,0
21,(289.1657069130448+1.0538907960614807j),(-2159949.722155349-1872543.0925762071j),0,69.08233835114916,1
22,(300.56284683031345+0.01863333799769508j),(-192833.05995338567-1663.4579384044198j),3103.4482758620693,1447.2546602994842,0
23,(304.4798855992425+0.0020975928251126723j),(-179813.5429089717+269.5437746396501j),5000,3456.2887506630354,0
24,(304.84094108749264+0.0009863736638584788j),(-162144.8238084294-219.9524844249448j),0,3011.014344627361,0
25,(310.15157788831226+0.0009772503383322726j),(-194934.87470800267+183.79990055768656j),0,3380.712371581841,0
26,(310.3965308345284+0.01222870016741452j),(-130683.28378866223-1599.7233109076005j),0,1780.0838291128282,0
27,(310.85366203789505+0.002505685176354712j),(-174643.4091108128-256.34648668678415j),0,3187.9697464320534,0
28,(320.46844875465047+0.021991837531250853j),(-289965.6899856304-4797.060012576815j),5000,2849.052049666612,0
29,(321.0762976363677+0.0012003126490992063j),(-105583.6106025114-363.94539734971363j),0,1867.694258254712,0
30,(325.4842561703941+0.0032942368546006904j),(-34369.08918776522+12.650182415749043j),2068.9655172413795,253.81210287843737,0
31,(335.73799401467284+0.005316639059996517j),(-59991.94212642778+2.4019444386704465j),2068.9655172413795,411.149472246188,0
32,(347.8792894764588+0.0003478223085611127j),(-186.96076633943972-1.699695241628521j),2413.793103448276,1.5267553373853973,0
33,(350.1428359152304+0.0003721925137938042j),(-1262.2688406540376+132.78392001372197j),6551.724137931034,15.659354883318358,0
34,(350.42831366802073+0.04453263402731633j),(-305017.7530343738-8371.573049409748j),1724.1379310344828,688.6123357803402,0
35,(352.4060251633093+0.00763749316418887j),(-125674.78594834005-1397.821999473078j),0,1752.2157755659673,0
36,(353.8078561355972+0.009569464828725094j),(-100996.12055162218-39.962002934516235j),2068.9655172413795,598.2278237117371,0
37,(360.4263236894397+0.3991961413060489j),(-953935.0445981519-540348.631380635j),0,176.0243161581253,1
38,(360.7907972702949+0.0011433206328205893j),(-145523.28789688446-248.46808351780894j),0,2681.916187656851,0
39,(374.8737432265259+1.8368661024550492j),(-3472374.6688034358-3611200.5476700207j),0,29.734682982666385,0
40,(375.6993478274965+0.0009116320136399581j),(-6084.7728299449755-2.049767868787214j),2413.793103448276,44.514117652395484,0
41,(377.2399767627462+0.0009277891718246693j),(-9352.851406812166-130.3403526366983j),2413.793103448276,68.82090493211291,0
42,(387.0788034529421+0.000381060326135138j),(-61229.25807130272-43.71176770774487j),0,493.46372614146566,2
43,(392.36463488665146+0.0035982973523260527j),(-117718.05011381349-814.591960765957j),0,1679.3744676753497,0
44,(402.21885221937015+0.0045603749607074605j),(-236745.16946796628+812.8182150037509j),0,3177.5643777991622,0
45,(411.25417847063073+0.013632103004482502j),(-258344.6287387747-1179.5882555453547j),0,2515.4662231865946,0
46,(411.4919105990186+0.5822956747053872j),(-1139471.8669482444-1108477.3294554031j),0,103.75892073878703,0
47,(416.16103234586933+0.0013539551462076497j),(-117771.21839853049-344.2989091325123j),0,1700.6576556455277,0
48,(416.7614040912936+0.023438443426878154j),(-297510.856273749-8552.790899894148j),5000,2148.914548438063,0
49,(419.39241746071536+0.0003159318714952154j),(-872.1273701967903-15.120912963206735j),3448.2758620689656,7.079479984543583,0
50,(423.99291811439116+0.010087470289723278j),(-266993.1927811045-5147.637760217975j),0,2886.912442976694,0
51,(425.5349811860042+0.004089937823461115j),(-117785.38296502938-730.0107679070835j),5000,1519.3862991654519,0
52,(425.65246351728814+0.017610613582654838j),(-402355.4916424874+1394.1217639076654j),0,3335.74505465052,0
53,(432.5390242174137+0.0036403013017266314j),(-245117.8428716894+689.3180538373913j),0,2994.010505652544,1
54,(433.3513528274647+2.104205266376218j),(-3306484.4690575125-4694447.263458845j),0,22.913435885800943,0
55,(433.6703817709786+0.00029169555213097616j),(-27026.515644849893-12.186435105081738j),0,62.72707956111779,0
56,(435.85560643821236+0.013972773059444613j),(-138790.77553443465-3040.0803285770503j),5000,1293.3109159450855,0
57,(435.91283101668637+0.008342262873993802j),(-92802.68821397057-115.97046342888798j),2068.9655172413795,458.75923529325127,0
58,(439.34041040700015+0.012088063774292303j),(-173684.59496761882-217.23679051150634j),1724.1379310344828,659.1210295708702,0
59,(442.43649499855474+0.04135704061515143j),(-179503.2666013474-9295.630492138758j),4137.931034482759,767.3996470917562,0
