Pole Index,Optimized Pole,Optimized Residue,Temperature,Integral Difference,Violations
0,(1.0276453554003402+0.008041663483191169j),(-2611.7126169891285-6.41002775529539j),1724.1379310344828,3810.333089067481,0
1,(4.523273505707078+0.0019402230861403046j),(-902.5078906628797-7.106234198238425j),2068.9655172413795,458.89259758931513,0
2,(4.5232735066408996+0.0019402244257632107j),(-4296.779330970403+6.766453012972682j),0,37.499093628838075,2
3,(6.1903150703784116+0.0017717548050477777j),(-7715.585726407626-49.5713271152397j),6896.551724137931,5076.401622177072,0
4,(6.451356520310538+0.0018171891676434758j),(-4322.3841730039085-50.44103112181185j),2413.793103448276,1777.373308443466,0
5,(8.162107430870947+0.0025543999284160434j),(-40235.21256679266-312.81736878792634j),0,26118.426222206683,0
6,(8.531119516590842+0.0014372439227491292j),(-4296.854556809223-68.31047624820698j),2413.793103448276,1358.1007148848362,0
7,(9.52732916378402+0.0013424424881120136j),(-2320.409412414583-32.18708642753804j),2413.793103448276,659.3346305893733,0
8,(9.618211923497856+0.0008495283660006839j),(-576.1133520476992-8.899799129519636j),2413.793103448276,165.5270927326981,0
9,(10.246950777865294+0.0019925013423887855j),(-11285.846099766273-142.9156396092133j),6206.896551724139,4339.594112193117,0
10,(11.02723901119251+0.001034123308178276j),(-858.1738342939024-37.29485841902238j),0,6.692037462589909e-05,0
11,(10.251877322431584+0.02368059762915491j),(-253.12905911987778-108.26340147483148j),0,0.00036888771980547784,0
12,(11.027239019127517+0.0010341602020717412j),(-21886.606534942897-152.01513943365072j),0,11709.207248210763,0
13,(11.432410089830439+0.0006783625933361329j),(-346.4331842594788-0.8105363096295178j),0,172.77521379286355,0
14,(11.631852830778428+0.0011091629598515033j),(-3005.880067622818-53.55074680234746j),2413.793103448276,704.3269377675182,0
15,(12.32477181420871+0.000881737829284846j),(-2283.43044639166-36.730174696362596j),3103.4482758620693,586.0878175759515,0
16,(12.75539102718902+0.0007184256085843906j),(-1452.9029593034977-23.676871424111702j),3103.4482758620693,362.40770679209584,0
17,(13.042239078122101+0.000848000875286885j),(-22836.23126573548-80.23950612712181j),0,10575.138322502906,0
18,(13.630847375355971+0.0008704336402707125j),(-3136.380339384427-50.41260745429473j),4137.931034482759,792.7955935321459,0
