Pole Index,Optimized Pole,Optimized Residue,Temperature,Integral Difference,Violations
0,(2.0994004528964014+0.0027387067104807095j),(-0.0781664865095189+0j),2068.9655172413795,0.08385505922053076,0
1,(2.5833111231277024+0.0023686576307381385j),(-861.3990358443406-5.237298160958858j),2068.9655172413795,774.0741392431678,0
2,(2.6841090724643095+4.486447149901348j),(369.68227814494736-576.8780636639638j),0,5.401342245380408e-07,0
3,(2.7704234870604765+0.002069957288998059j),(-0.010370573112489845-2.397423560992198e-05j),2068.9655172413795,0.00870765444454738,0
4,(2.577006145458713-0j),72.79427815694362j,0,0.008223242251755657,0
5,(2.588913016114395-0j),-76.92935209986734j,0,0.1882789008864536,0
6,(2.770431662204614+0.0020756704949571356j),(-0.005246517360640648-3.894918580204249e-06j),0,2.5309192309787015e-06,2
7,(3.199900503129735+0.001796997457079716j),(-0.8300973601999163-0.00041976877754064086j),2068.9655172413795,0.6179769734260795,0
8,(3.3635907779572296+0.00170951276779107j),(-0.18965578373819636+0j),2068.9655172413795,0.13435634913798003,0
9,(4.4185678337286385+0.0013013731453546853j),(-0.5581508983289288+0j),2068.9655172413795,0.3063319218631626,0
10,(4.568536588280734+0.001803511337670403j),(-6638.297122288564-46.354776497914614j),8275.862068965518,6188.146915696344,0
11,(4.919628175050965+0.0011687968853752444j),(-0.04619333454183082-9.190697861872644e-06j),2068.9655172413795,0.02300321597456202,0
12,(5.199961655434146+0.0011057798882389384j),(-0.038378517356299456+0j),2758.6206896551726,0.0030509172329660234,0
13,(4.518658692395482-0j),15.224129016220104j,0,1.0933993353714831e-05,0
14,(4.606893607287915-0j),-40.95884485412108j,0,0.0005614273874279726,0
15,(5.199961655879331+0.0011057823345960228j),(-0.074552670839295+0j),2413.793103448276,0.0233509016123311,0
16,(6.056576868149396+0.0023341556867846097j),(-8356.00076024218-102.21128530619595j),2068.9655172413795,3201.6410548039216,0
17,(6.5809931429222255+0.0008737484196619822j),(-0.06655025532731952-2.7479039342204156e-05j),0,1.8591968189370604e-09,0
18,(6.056897561822634+0.005791949240273433j),(-1538.7562864222352-89.93115729303022j),0,0.06797280135545937,0
19,(6.580993143814181+0.00087375237454433j),(-0.16694962422253126+0j),2413.793103448276,0.06999919421711483,0
20,(6.7214158280054175+0.0008555482544833177j),(-0.5218333973069772-5.794130151238251e-05j),2413.793103448276,0.21441150959281893,0
21,(6.848376501634755+0.0008396198861736924j),(-0.07901932266624241-7.575618472536225e-06j),2413.793103448276,0.0318865308642202,0
22,(7.045979042272942+0.0008161098388695877j),(-0.29685154595988184+0j),2413.793103448276,0.11633866326021562,0
23,(7.624776099582725+0.0007541300605527957j),(-0.04987564521381225-1.0565439998346627e-05j),0,4.032078111750335e-09,0
24,(7.970156241601004+0.0007217628758394934j),(-0.8507887770761253-0.00015541264468144731j),0,3.2867585184677204e-10,0
25,(7.624776098731025+0.0007541327232567507j),(-0.1338963847780409+0j),2413.793103448276,0.04856880128483456,0
26,(7.970156241711699+0.0007217616896129098j),(-2.3078111224030127+0j),2413.793103448276,0.8011646494286708,0
27,(8.125957374205946+0.0014609314364362191j),(-6821.386759865356-76.23018890091484j),4482.758620689656,3026.8002980819024,0
28,(8.216093391549455+0.0006998626737595437j),(-0.08610764942967118+0j),2413.793103448276,0.02812417081697187,0
29,(8.51013163518998+0.0006757135009838322j),(-0.35528927519939435+0j),2413.793103448276,0.11580589989325993,0
30,(8.985957983034602+0.0007027954052203355j),(-135.33542940623116-4.968753644817104j),0,1.0130770353645334e-08,0
31,(8.02096440461568-0j),-18.71663543919992j,0,7.112905102568836e-05,0
32,(8.18477231281803-0j),-49.58294747390517j,0,0.0056315712638415555,0
33,(8.510131633137476+0.0006757196998972442j),(-0.135921522206808-3.213380571905414e-05j),0,6.8093021615781e-07,0
34,(8.985957983940095+0.0007027990930965552j),(-373.82678524246876-5.051841657617189j),2413.793103448276,115.49628233153284,0
35,(9.114445710300306+0.0006308780336701118j),(-0.03579093311370791-8.993485893401015e-06j),2413.793103448276,0.010943521834103158,0
36,(9.148948051052082+0.0006287687146276282j),(-2.030230586362376-0.00012481378833122532j),2413.793103448276,0.6181055332470302,0
37,(9.44705088014829+0.0006112159491042493j),(-18.476432296200038+0j),2413.793103448276,5.449853855553991,0
38,(9.650206233770655+0.0005959286208086811j),(-1.1736917146284451+0j),2413.793103448276,0.33919206385403905,0
39,(9.901406988847985+0.0005807678998685437j),(-0.25785631495185646+0j),3448.2758620689656,9.458215602835583e-06,0
40,(10.127122826060187+0.002341530195135364j),(-4576.018022126384-188.4184347539502j),0,6.776380389662527e-05,0
41,(9.650206241897667+0.0005959339799709296j),(-0.5200460488158861+0.0001513765164012384j),0,2.095555201250774e-06,0
42,(9.901406990121513+0.0005807851833502613j),(-0.7258170034775262-3.1893650137425315e-05j),2413.793103448276,0.2041553995305884,0
43,(10.127122826555357+0.0023415558952367284j),(-47467.54282988156-480.6567475593975j),0,25270.17813161654,0
44,(10.54598029089647+0.0005453947475635082j),(-1.217990689368152-5.3267555820470063e-05j),2413.793103448276,0.32257661998950904,0
45,(10.811672821741492+0.001101345205543134j),(-32688.93008321766-154.97862904295516j),0,17569.27776050648,0
46,(10.92362120747292+0.0005264431247823237j),(-0.9872256498794475+0j),2413.793103448276,0.1404839241273577,0
47,(10.811672821403617+0.0011013685274047964j),(-2229.31510337802-75.57464360714734j),0,0.2546437282260982,1
48,(10.92362119402797+0.0005265041792955972j),(-0.6111743636861157+0j),2758.6206896551726,0.041315900306431286,0
49,(11.182016833669689+0.0005144146601770955j),(-2.9928034342536813+0j),2413.793103448276,0.7490050765649495,0
50,(11.5463067696408+0.000498161232923725j),(-1.183394608245325-5.97236714821738e-05j),2413.793103448276,0.2871283946227484,0
51,(11.663027058729892+0.0004930678513570718j),(-0.38124801913248335+0j),2413.793103448276,0.09156640625029924,0
52,(12.069171491195693+0.0005118345922686011j),(-113.095347953986+1.8433050365929455j),1724.1379310344828,16.205437000906556,0
53,(12.069171486041114+0.0005118509312678357j),(-2125.4468995187576-1.2650324168140479j),0,6.1400720340534365,0
54,(12.347323603248562+0.0004662358166963364j),(-8.099985428985516+0j),2413.793103448276,1.8401376198397132,0
55,(12.605601934024708+0.0004563200330692748j),(-2.4261004916505224+0j),2413.793103448276,0.5401611029631672,0
56,(12.816352861966548+0.000448666411731564j),(-0.2890432749699791+5.554180438214468e-06j),2413.793103448276,0.06337487105600861,0
57,(12.857554355308196+0.0005359610378544548j),(-449.9034264096277-8.15552027683313j),2413.793103448276,97.88757051445091,0
58,(13.162070516953325+0.0004378406059324724j),(-7.1713914928677+0j),2413.793103448276,1.5266890924722931,0
59,(13.772451595495859+0.003517509626086801j),(-8087.131189692124-458.4962237355017j),0,6.408750244517382e-06,0
60,(12.92657262947688-0j),-3.6632713166703947j,0,0.0016589128676860734,0
61,(13.162070513549098+0.00043784148632071873j),(-5.389566250959149+0j),2413.793103448276,0.0018906600273191848,0
62,(13.772451661785798+0.0035172574583930945j),(-54555.5119850819-759.4679683322954j),5000,19638.8271492247,0
63,(13.959330220050102+0.000412212476708051j),(-4.450082112169126-9.158322320232837e-05j),2413.793103448276,0.8962659022220031,0
64,(14.169124890218821+0.00040630953292856645j),(-7.2937861124145265+0j),2413.793103448276,1.4475739478199658,0
65,(14.252091075888636+0.0004040375666067526j),(-4.306320899446534+0j),2413.793103448276,0.8494920892707469,0
66,(14.440390352959163+0.0012589039708576159j),(-13688.844173705898-176.33693606243781j),0,19.929682990114813,0
67,(14.658997243492312+0.0003927335733080846j),(-2.6000876971573788-0.00020869377154862176j),0,1.5936877660512548e-07,0
68,(14.772887334247201+0.0003894552978862872j),(-1.2463850040448825-0.00010064533236130506j),0,1.703327098129878e-09,0
69,(14.440390354359257+0.0012589004407308618j),(-41591.28178956832-83.90161299039144j),5000,16093.052097991314,0
70,(14.658997242607093+0.00039272753341253256j),(-7.010073692388268+0j),2413.793103448276,1.3452816374817949,0
71,(14.772887332217262+0.0003894583098312049j),(-3.4010125424170567-7.981607800811235e-05j),2413.793103448276,0.6480414432336439,0
72,(15.132425455204631+0.0003800818089490034j),(-0.7654520175855799+0j),2413.793103448276,0.14240902666037908,0
73,(15.407740249935227+0.0008376608726534087j),(-5213.284841679102-84.36060350023465j),7241.379310344828,1422.8714119065353,0
74,(15.580702812070008+0.00037217424250977075j),(-164.5015065245609+0j),1034.4827586206898,0.10431081216311573,0
75,(15.407740250672159+0.0008376599421266869j),(-1971.0288716120776-77.58524167132137j),0,0.1054888953615149,0
76,(15.580702812521857+0.00037217491142867734j),(-22.973253481386905+0j),2413.793103448276,4.129277091581956,0
77,(15.934189660281298+0.00036162275501227625j),(-11.221067171759808-9.133221659198149e-05j),2413.793103448276,1.9853609725418946,0
78,(16.03849743985355+0.00035888214655725313j),(-2.717586622474694-4.256369889295017e-05j),2413.793103448276,0.4775862859911014,0
79,(16.247449034305987+0.00035608091583306324j),(-32.035146305751496+0j),2413.793103448276,5.557602373840961,0
80,(16.54325783248693+0.0007446041098656476j),(-30518.165641629344-115.66738458520427j),5000,10987.85331899261,0
81,(16.588348323974596+0.0003480965733509791j),(-21.590000544575265+0j),2413.793103448276,3.666922132505841,0
82,(16.68064447554499+0.0003447652148762455j),(-0.6540959161133381+0j),2413.793103448276,0.04359462088580346,0
83,(16.543257834091953+0.0007446017331940169j),(-1738.8410362935813-69.7334188676864j),0,0.04013580415372763,0
84,(16.588348323470406+0.0003480961710957686j),(-10.82087614642962+0j),2758.6206896551726,0.001039689447990255,0
85,(16.68064447594176+0.0003447659755253519j),(-0.7984518648505091+0j),2413.793103448276,0.06920772142452221,0
86,(16.806647497796607+0.0003429047083943364j),(-11.457611485100458-0.0003919390925074528j),2413.793103448276,1.921461172256595,0
87,(16.90303523348227+0.00034032195889555084j),(-1.0766369218090681-2.251645750587277e-05j),2413.793103448276,0.17949612422562547,0
88,(17.059325386038502+0.0005828250646331411j),(-25835.96511014004-89.57231409579776j),0,9382.263854915314,0
89,(17.153174636364525+0.00033531602167258256j),(-1.491085863643957+0j),2413.793103448276,0.24541417673236565,0
90,(17.54939030589169+0.0003278627590050931j),(-1.5927558381312248-3.430199516850774e-05j),2413.793103448276,0.2561625695331903,0
91,(17.64511262188198+0.0003478268676517793j),(-109.95350902190921-2.9317578385706584j),2413.793103448276,17.591441694921336,0
92,(17.962435806407782+0.00032032727615316503j),(-1.3529614707245723-0.0003234876459533342j),0,1.3308865974464959e-06,0
93,(18.22324888989861+0.00031585524015209643j),(-1.7470884510402225-0.00010816246035858674j),0,6.3297444084256095e-09,1
94,(18.36538864525337+0.0003137779605273394j),(-3.6706761399149017-0.00024323304106931443j),0,2.4534655742098763e-09,0
95,(17.651997166138614+0.013218789385418263j),(-2.5095195399685464-2.386120717245122j),0,0.0005152281269326089,0
96,(17.962435809055105+0.00032032963879377027j),(-3.16175893709139+0j),2413.793103448276,0.4966941094490796,0
97,(18.223248887898173+0.00031585316377182764j),(-4.782583404258353-0.00017362746973902793j),2413.793103448276,0.7412581016362809,0
98,(18.36538864408257+0.00031378012290505256j),(-10.161766160555153+0j),2413.793103448276,1.5627387570076288,0
99,(18.650272198529613+0.0013553795353502534j),(-8235.811027270875-230.77509639044308j),3103.4482758620693,1373.2965347869151,0
100,(18.760477074235013+0.0003079408755149924j),(-21.33703336280833+0j),2413.793103448276,3.2143085565846548,0
101,(18.805227994964362+0.00030606123083438947j),(-55.13473564710731-0.092998956570272j),0,18.73481015275552,1
102,(19.194178808900222+0.0002996808637298477j),(-0.646165152784811-9.115518405211405e-05j),0,1.1165117006033087e-07,2
103,(19.31299562677506+0.00029819043668836834j),(-1.2839000245101928-9.877375348502436e-05j),0,1.06671843096242e-09,0
104,(18.628567383608548-0j),-36.61502991745891j,0,0.0030146058987513135,0
105,(18.668994084704217-0j),-191.7558509053091j,0,0.023031738736305173,0
106,(18.798482401404254-0j),-0.015490294027088052j,0,8.939068808241098e-06,0
107,(19.194178804785338+0.00029968292778602065j),(-1.6417539806101038+0j),2413.793103448276,0.24176813930846194,0
108,(19.312995638657277+0.0002981949112052947j),(-3.4368138582267114-7.446845648752385e-05j),2413.793103448276,0.5025758719474335,0
109,(19.383769021888618+0.0002968323307380451j),(-2.1700432172691855-3.0085844396116957e-06j),2413.793103448276,0.3164147142593685,0
110,(19.415622553129175+0.00031484464017493525j),(-2804.4752325733984-5.480216370214328j),0,990.149389978881,0
111,(19.757639029220393+0.00029114439883053394j),(-1.78579474928851+0j),2413.793103448276,0.25563478634779824,0
112,(19.87264451551199+0.0002897199435433475j),(-5.498068086325721+0j),2413.793103448276,0.7817079417465471,0
113,(19.941038055128146+0.0003557509430068208j),(-534.0094546506785-15.76417765250769j),2413.793103448276,75.58123424422332,0
114,(20.193942165492885+0.0002851502273649376j),(-2.086876466506957+0j),3103.4482758620693,0.0009624443409021348,0
115,(20.255122575970113+0.000518256679152343j),(-574.0715785298811-54.135523016439045j),0,0.0025384387396061585,0
116,(20.193942165305078+0.0002851466724181643j),(-6.033964559254506+0j),2413.793103448276,0.8159304258074644,0
117,(20.25512257704686+0.0005182551828424256j),(-3068.97542355785-282.59394488464335j),7586.206896551725,683.2914889603659,0
118,(20.401847960182476+0.00028193261475005537j),(-1.3760864254354204+0j),2413.793103448276,0.1905445611172853,0
119,(20.835450473553912+0.0003974249604022644j),(-976.9150087669581-27.60780626355151j),3103.4482758620693,151.09510737104011,0
120,(20.970283736423404+0.00027581917157579937j),(-23.96560307977612-0.0006976541987764705j),2413.793103448276,3.231962565596759,0
121,(21.081558291991527+0.0002728899374591678j),(-2.0015237938063253-6.041805295997452e-05j),2413.793103448276,0.26847637295540805,0
122,(21.1626534285871+0.0002719405392363921j),(-3.42329074128633-0.0001079106416741602j),2413.793103448276,0.45741517039944163,0
123,(21.311088666543125+0.0002747992701882896j),(-1200.7234713092748-1.373526514592524j),0,1.721580015069718,0
124,(21.34322843989515+0.0002695114799767921j),(-0.5304762929777778+0j),3103.4482758620693,0.00022751792475706636,0
125,(21.523243263185115+0.0003394693585533961j),(-149.2601765794177-14.740205352838679j),0,7.523603297662143e-06,0
126,(21.31108868773626+0.00027485113601484956j),(-1318.60626374308+2.294848240878102j),0,379.2838403969176,0
127,(21.343228388150052+0.00026949915723346483j),(-1.5369864731398495+2.0469158243030475e-05j),2413.793103448276,0.19719510623210026,0
128,(21.523243260815477+0.00033947165714947003j),(-496.6603117927936-14.467494473863113j),2758.6206896551726,70.25451259948237,0
129,(21.614044048037876+0.0002662676822105003j),(-3.613831040452498+0j),2413.793103448276,0.4728642657466929,0
130,(21.874336588040286+0.000324522911569126j),(-332.4598037349191-10.535702836499407j),2413.793103448276,42.93588174397548,0
131,(22.029518833921273+0.0002622797265557211j),(-9.328407544816908-0.0002191346209162986j),2413.793103448276,1.1980394959161942,0
132,(22.11077792983734+0.000274152599820504j),(-72.05670268119812-2.267106122542159j),2413.793103448276,9.224887455366707,0
133,(22.336584344008642+0.00025803783164972643j),(-9.109008018539207-0.0001960889527062947j),2413.793103448276,1.153560224958922,0
134,(22.769267654493927+0.000788205468980289j),(-1388.8113175642857-129.45248391284218j),0,5.313501358041995e-05,0
135,(22.875976480555774+0.00025448552004314016j),(-8.341198394278807-0.0005755617530606228j),0,1.0746316101046348e-09,0
136,(22.336584342262583+0.00025804160851183866j),(-4.336042613256156+0.0009789146484062324j),0,9.240449777293953e-06,0
137,(22.769267657395353+0.0007882013689135547j),(-43454.12156517358-233.91596034699378j),0,11365.321517038828,0
138,(22.875976482926678+0.00025448817172257776j),(-23.18835240489286-0.0005413049938187482j),2413.793103448276,2.867228996532041,0
139,(23.065396161434936+0.0002496032192897956j),(-4.625768231750312-0.00010108259228462359j),2413.793103448276,0.5678804049004934,0
140,(23.138301513262196+0.0007415906763306168j),(-41822.87142549382-237.63657712205796j),0,10841.792995893053,0
141,(23.295548932661653+0.0002474686720357333j),(-9.477485934170506-0.0002015813699710399j),2413.793103448276,1.152376063802236,0
142,(23.474036722857786+0.00024571321215161035j),(-5.649663005110293-0.00015086642153269283j),2413.793103448276,0.6811252310253512,0
143,(23.582209397433996+0.0002468529720767165j),(-1613.8303398681232-1.6096438328013511j),0,422.50074747941846,0
144,(23.5920177188269+0.00024568086497378516j),(-1041.0458110173324-1.0038722908081577j),5000,166.01445576972486,0
145,(23.208834836956743-0j),-54.761652838593996j,0,0.0012332744855227656,0
146,(23.47403672266566+0.0002457146894217431j),(-2.222072718644702-3.3965904968147136e-05j),0,2.946729418475183e-06,0
147,(23.582209397767123+0.0002468529545397594j),(-16.8554704048484+0j),3103.4482758620693,0.07031802583866223,0
148,(23.59201771880166+0.00024568123067182353j),(-985.127674605783+0.5880403097473252j),0,1.0513210536394342,0
149,(24.087392306331587+0.0006525538823538564j),(-39077.65960341858-157.5150494605047j),0,9766.372601008437,0
150,(24.18350677754292+0.000238897613344419j),(-8.392149888171442+0j),2413.793103448276,0.9832604561905458,0
151,(24.395472912117093+0.0011287493496096991j),(-47209.90642648994-321.74756964554047j),0,11245.327219516332,0
152,(24.596721327349293+0.00023398341324913231j),(-3.1499169537490417-6.785607076325135e-05j),2413.793103448276,0.3626413369305166,0
153,(24.631195668418115+0.00023616726456885987j),(-20.186824486084824-0.0003660549705638975j),2413.793103448276,2.3204636972106236,0
154,(24.820078566597132+0.00023301373298140857j),(-5.021745359858082+0j),2758.6206896551726,0.00023775873091096383,0
155,(24.9011947377926+0.0005342741896030269j),(-721.5807760632905-82.4844485876733j),0,0.00013983204330382954,0
156,(24.986122149166306+0.00023441435188693998j),(-24.179013492235644-0.002519819304893484j),0,3.073998234954239e-07,0
157,(24.346318886644458-0j),-202.1680530795251j,0,0.0003258742000592563,0
158,(24.426931722074446-0j),-107.0965889668542j,0,0.00041239065994747243,0
159,(24.596721325629204+0.00023398201834079195j),(-1.3556810688078322+0.00017645680902286413j),0,4.0012379712926985e-08,0
160,(24.631195668387072+0.00023616992435567243j),(-10.343631553353882+0.0037115641057584386j),0,2.329850297851163e-06,1
161,(24.82007856613209+0.0002330144813513639j),(-9.97811230812734+0j),2413.793103448276,1.1376429739414076,0
162,(24.90119473726134+0.0005342729493713758j),(-40844.11191002519-223.58058114906092j),0,10067.847701537747,0
163,(24.986122148801844+0.00023441463890900766j),(-63.52007164540549-0.0021564047473973586j),2413.793103448276,7.200521892820451,0
164,(25.072584561382925+0.0002950555284558499j),(-682.596804994214-17.76227623484792j),4827.586206896552,104.37514014361916,0
165,(25.166553201552357+0.00022912053765614283j),(-9.520894823928087-0.0004540996916200322j),2413.793103448276,1.0718552491032662,0
166,(25.230212049411904+0.0002281583567243463j),(-3.805964947927281-0.00020347967137215143j),2413.793103448276,0.4274569387710383,0
167,(25.433224334493936+0.00022631355820862024j),(-3.4373755602099-0.00012380058475588429j),2413.793103448276,0.3830650912457691,0
168,(25.715551986272857+0.0014655861615722127j),(-50991.931804873486-490.4526166192518j),0,11239.61617047383,0
169,(25.854048039906786+0.0002233167413311204j),(-13.572264300691044-0.0003509262867706615j),2413.793103448276,1.458830668454737,0
170,(25.904930033515313+0.000222139866004514j),(-1.8678133187253283+0j),2758.6206896551726,0.07103925795898741,0
171,(25.95311349416784+0.0002216368963748481j),(-0.17300877907429307+0j),5517.241379310345,0.0006753586818319828,0
172,(26.03564671857258+0.0002275418933927488j),(-22.311480711786675-0.005621905138694306j),0,1.1504638864722491e-06,0
173,(25.715595310183566+0.0017344734675288583j),(-3800.4024985817764-339.79667053746164j),0,0.04390124652151922,0
174,(25.854048039771758+0.00022331518386158186j),(-437.6687756947211+0.25941820798249293j),0,0.07109143034074748,0
175,(25.904930032012203+0.00022214043839782603j),(-2.592765345049061+0j),2413.793103448276,0.15113757927264324,0
176,(25.953113494072817+0.00022163831701366908j),(-1.2405861176749924+0j),2413.793103448276,0.13499663351281713,0
177,(26.03564671900803+0.00022754248222103086j),(-49.62199208858583-0.0010059390645894293j),2413.793103448276,5.400057602730647,0
178,(26.246775040287844+0.0002194126869520902j),(-5.031434072347145+0j),2413.793103448276,0.5432160375335965,0
179,(26.328100644754823+0.0006189290482955682j),(-41467.45310964279-210.83646994383548j),0,9489.207071860872,0
180,(26.42672889439863+0.00021893046258322177j),(-20.014113196049937+0j),2413.793103448276,2.1471546177784724,0
181,(26.615476346007544+0.0004256195692313371j),(-2828.787461593506-62.55984280298921j),8620.689655172415,471.20549170271573,0
182,(26.657286059214087+0.00022114574270478538j),(-80.8051936549056-0.016873613039468213j),2413.793103448276,8.596864746951528,0
183,(26.720596925542615+0.0002170662448619433j),(-13.943331487435366-3.4192496563925314e-05j),2413.793103448276,1.4797253758184288,0
184,(26.76559171819671+0.00021497303172594872j),(-2.157659665960844-0.00015204095756982377j),2413.793103448276,0.2285469037572747,0
185,(26.86419175812842+5.1425517786183595e-05j),(-186.65608593468926-5.096227668447329j),4482.758620689656,26.201756585290127,0
186,(27.022213080755897+0.00022391156592779446j),(-61.08671274314023-0.011716067383588324j),1724.1379310344828,5.165558925430442,0
187,(27.066181852387437+0.0002317049372750925j),(-5788.264273288311-7.239459924569225j),0,0.940645449242832,0
188,(27.113966881388475+0.00021283816863671494j),(-17.594343720819086+0j),2068.9655172413795,0.001796756346168998,0
189,(27.261562685043536+0.00021470510166343948j),(-10.480381733052823-0.003159187766520469j),0,7.207260708061369e-09,0
